id;label;text
51;POS;El color azul es perfecto!. Ame que sea tableada! vino perfecta!!!. Lo recomiendo, si es escolar queda de 10.
52;POS;Me encantó! es más de lo que esperaba. Super comoda.
53;POS;Muy lindo le quedó a mi hija.
54;NEU;No me gusta cómo me quedaba, al ser la tela elastizada, las tablas no se arman bien y queda más estilo "voladitos". Soy talle 38 de jean y pedi talle 3 y me fue bien. Es cómoda pero no es lo que esperaba.
55;NEG;Queda rígida, al ponerla no se notan mucho las tablas y queda más como una falda tipo plato.
56;POS;Hermosa la calidad y precio bárbaro!! superó mis expectativas.
57;POS;Todo bien!!.
58;POS;Hermosa.
59;POS;Me quedó perfecto el talle. Super cómoda.
60;POS;La pollera es de excelente calce, abrigada y fina, ideal para el frío. Posee una calidad y corte muy lindos, con colores versátiles y combinables. Además, es cómoda y calentita, quedando perfecta a quienes la han adquirido.
61;POS;Son muy calentitas y prácticas.
62;POS;Muybueno.
63;POS;Bueno para regalo.
64;POS;Muy linda me quedan perfectas y es lo que esperaba.
65;POS;Es muy cómoda.
66;POS;Muy lindo abrigada la recomiendo.
67;POS;Muy linda la pollera, quedo como esperaba. Calentita y cómoda.
68;POS;Me encantó, me compraré en otros colores.
69;POS;Muy linda calidad y corte. Los colores son versátiles y muy combinables.
70;POS;Muy linda calidad. Calce perfecto. Abrigada.
71;POS;Queda muy bien oero ed tejida como unswearer. Ni es tela plana.
72;POS;Hermosa. Buena tela y confección.
73;POS;Muy lindas abrigada,perfecta lo que buscaba.
74;POS;Es una pollera cómoda y calentita especial para este frio.
75;POS;Producto como se lo presenta corresponde con el talle que se presenta en la publicación.
76;POS;Me gusto mucho tendría que ser más gruesa es un poco transparente pero ya solucione así que gracias.
77;NEG;Lo devolví porque no era lo que esperaba.
78;NEU;La pude usar poco porque te copia toda la panza y el tajo queda medio alto.
79;NEG;No es lo que esperaba, hubiese comprado otro modelo.
80;POS;Súper conforme y obviamente recomendable.
81;POS;Es hermosa y súper elástizada, el color está buenísimo. Queda hermosa 
82;POS;Muy bueno, a mi novia le quedó como esperábamos!!.
83;POS;Si sos talle 40 pediría un talle más para que quede perfecta. El material y las terminaciones son super lindas.
84;POS;Excelente como esperaba. Me anduvo de diez.
85;POS;Es hermosa, exelente calidad.
86;POS;Divina !.
87;POS;Excelente el producto.
88;NEG;No es muy engomada.
89;POS;Me encantó! espero sea cómoda para bailar. Soy talle 38 y me pedí un 2. Me fue bien.
90;POS;Muy buen producto relación precio-calidad.
91;POS;Excelente diseño
92;POS;Precio calidad.
93;POS;Muy bien ! muy linda !.
94;NEG;Muy mala para lo q sale, es como la de la foto pero media riguida con respecto a los volados.
95;POS;Todo excelente.
96;POS;Divina la pollera de muy buena calidad.
97;POS;Es muy linda
98;POS;Excelente producto.
99;POS;La compré para mi nieta, que este mes cumple 10 años. Le gustó muchísimo, le quedó perfecta.
100;POS;Muy elasticida y linda la calidad.
101;POS;Excelente! hermosa pollera y de muy buena calidad! mejor de lo q esperaba! re linda!.
102;POS;Re linda, la compre para mi hija y le quedo hermosa.
103;POS;Todavía no lo lavé, pero muy buen producto, pensé que me quedaría chico pero quedó de sobra, pedí el xxl 
104;POS;Lindo, lo único sería en la cintura ajusta por el elástico.
105;POS;Es linda para usar con calza abajo.
106;POS;Perfecto, me hubiese gustado mas corta unicamente! es hermosa.
107;POS;Excelente precio calidad sigan haciéndolas.
108;POS;Lo amo.
109;POS;Suave y lindo el detalle del tejido, para usar con bucaneras.
110;POS;Muy bueno, es un poco corro.
111;POS;Hermosísima la calidad ! hermoso !.
112;POS;Es hermoso me quedó tal cual la foto, super sueve y calentito.
113;POS;Hermoso excelente calidad.
114;NEU;El más chico si sos flaca queda grande. Peso 49 y mido 1. 60, y 90 de busto y no me queda súper apretado y no queda corto tampoco. Aviso porque no es como en las fotos que se ve.
115;POS;Muy buen producto: tela y confección. Me queda perfecto. Lo recomiendo!.
116;POS;Buena calidad y confortable, el talle es como lo esperaba y rl largo también. Mido 1,70 y me quedo perfecto.
117;NEG;La calidad no es muy buena.
118;POS;El vestido es hermoso y de excelente calidad, destacando por su tela suave y buenas terminaciones. Es versátil, estiliza y se adapta tanto para ocasiones elegantes como informales. Además, queda perfecto al usarlo, proporcionando un ajuste ideal que realza la figura.
119;POS;Quedo hermoso puesto. La tela es muy suave y calza bárbaro. Muy conforme.
120;POS;Hermoso.
121;POS;Hermoso y excelente calidad.
122;POS;Hermoso es, se ve de calidad. Me encanto.
123;POS;Bellísima la tela fina pero igualmente me encanto.
124;POS;Quedó perfecto, me gustó mucho, estiliza, es elegante para usar con tacos e informal con zapatillas también.
125;POS;Más largo de lo que esperaba. Pero de 10.
126;POS;Excelente calidad 
127;POS;La versión azul es un vestido hermoso para el día.
128;POS;Todavía no lo use y no lo lave. Pero es tal cual la foto es bello.
129;POS;El vestido es hermoso. Muy buenas terminaciones. Todavia no lo lavé.
130;NEG;Malisimo
131;NEU;El vestido es hermoso, pero lamentablemente el largo del torso es corto, como tengo busto se sube y no llega a la cintura, a pesar que compré el talle correspondiente , tienen el problema de no realizar más largo el talle y eso solo hace que se ensanche nada más, de ancho me sobra pero tengo que elegir más grande por el largo. El largo no se modifica y eso es un problema grave d e diseño. Una lástima la verdad porque me gustaba mucho el modelo. Tienen que corregir estos errores. Saludos.
132;POS;El vestido es hiper cómodo!!!!! una tela suavecita y se adhiere bien al cuerpo. Yo lo convine c bucaneras y medias negras!!!!! soñadooooo.
133;POS;El vestido es muy lindo, cómodo y práctico, destacando su buena calidad de tela y excelente caída. Aunque es menos abrigado de lo esperado, su diseño entallado y el material de lanilla son muy apreciados. Ideal para quienes buscan una prenda elegante y de buen ajuste.
134;POS;Muy lindo. No hace falta leer lo que sigue, es solo porque mercado libre dice que mi opinión de muy lindo es corta.
135;POS;Bueno.
136;POS;Muy buena calidad! me queda cómodo y la tele es de buena calidad, también me gusta la caída que tiene.
137;POS;Muy lindo vestido. También buena calidad!!!!.
138;NEU;Por el precio imposible pedir más, hubiera esperado un poquito más de ancho la falda, de todos modos está muy bien.
139;POS;Excelente calidad, caída y del largo que esperaba. Súper recomendado!.
140;NEU;Aún no lo lave.
141;NEU;Aún no lo he lavado, así que no sé si conservará el mismo tamaño. Las mangas son un poco mas anchas de lo que debería. De resto muy lindo.
142;NEU;Aún no he usado pero la verdad que no me fije el corte de la base del vestido y realmente no me gusta, pero bueno lo modificaré.
143;POS;Hermosa la calidad y la confección.
144;POS;Muy buena calidad y caída gracias!!!!.
145;POS;Muy lindo justo como lo esperaba.
146;POS;Puesto queda muy elegante y cómodo.
147;POS;Me quedo precioso es lo que quería.
148;POS;Hermoso vestido. Recomendable.
149;POS;Es muy lindo pero me quedo algo grande.
150;POS;Me encantó pero aún no lo lavé supongo me quedará perfecto.
151;POS;Es todo lo que esperaba calidad presio muy bueno.
152;POS;Me encantó!! todavía no lo estrene pero la lanilla es hermosa.
153;POS;Es muy linda prenda tal vez menos abrigada de lo que esperaba. Pero de buena calidad.
154;POS;Muy lindo se estira es cómodo y práctico.
155;POS;Buen vestido. Linda caída, tela suave, abrigado pero liviano, talla como esperaba.
156;POS;Muy lindo, la calidad me gusta.
157;POS;El talle adecuado, la tela buena, tal como se ve en la foto de promoción. Muy conforme.
158;POS;Buen material, liviano y abrigado. Un pioco ajustado.
159;POS;Muy buena calidad y muy abrigado.
160;POS;Muy bueno y tal como lo esperaba.
161;POS;Muy lindo,buana calidad, cómodo y abrigado. Lo recomiendo.
162;POS;Muy buena la lanilla pero es muy entallado y me queda muy justo aunque pedí el talle más grande.
163;POS;Es lindo, a mi me gustan las mangas más entalladas el vestido las tiene un poco holgadas pero esta bien.
164;POS;Excelente calidad. Compré cuatro prendas y todas son muy buenas. Recomendable totalmente.
165;NEG;El color del vestido marrón, no es como el de la foto, es un beige oscuro.
166;NEG;A mi personalmente, no me gusto. Y vino con una marca en la espalda y al lavarlo no se la pude sacar. La tela es buena.
167;NEG;El modelo no es como en la foto, deja mucho que desear. Seguí las indicaciones para el talle y me quedo súper grande. Quedaba como ponerse una sábana. La tela súper básica. Sin caida.
168;POS;Aun no lo lave. Es muy cómodo.
169;NEG;Malísimo. Carmen te el precio aljdad hace la diferencia.
170;NEG;No creo que lo use nunca.
171;NEU;Todavía no lo use,espero no se estire con el lavado.
172;POS;Muy bonito !!! espectacular me encantoo.
173;POS;El vestido es bien entallado y muy cómodo, destacando por su excelente calidad y ajuste. El color es vibrante y la tela de gran calidad, lo que lo hace visualmente atractivo y confortable para eventos especiales. Además, la presentación del producto refleja un cuidado y dedicación excepcionales.
174;POS;Excelente bien entallado.
175;POS;Excelente calidad y calse súper cómodo, me encantó
176;POS;Pero al probarmelo puedo decir que fue como lo esperaba. Buenas terminaciones y no pica!. Es cómodo.
177;POS;No lo lave, de hecho todavía no lo usé. Pero la verdad que estoy muy conforme. De hecho estoy más conforme con este vestido comprado online que otros que tengo hechos a medida por modistas.
178;POS;Todavía no lo lavé. Pero queda bárbaro y era tal cual lo esperaba.
179;POS;Espectacular !.
180;POS;Gracias buen producto.
181;POS;Increibleeeee.
182;POS;El vestido está hermoso, la tela se ve genial. Me queda bastante amplio, pero lo retocaré para usarlo igual durante la fiesta. Mis medidas son 110-96-130 como para que tengan una idea. El empaque en el que vino, demuestra que le meten mucho amor a lo que hacen, realmente hermoso! con mensajitos re lindos y con un portaminas incluído! un 10 todo realmente! gracias!.
183;POS;Excelente y delicado.
184;POS;Me quedo grande pero es muy comodo y queda muy bien puesto.
185;POS;Muy lindo vestido ,tiene buen calse. Me encanto.
186;POS;Grande. Cómodo y lindo.
187;POS;Hermoso ,buena calidad.
188;POS;Me gustó, la tela es de buena calidad, pero en el ombro la costura no está simétrica y hay una parte c exceso de tejido. Además el largo es exactamente lo q está en el guía de talle, para mi quedo bueno, tengo 1,50m me compré el talle s y va hasta mi tobillo el largo del vestido.
189;NEG;Sinceramente tengo que devolverlo de cuerpo me queda perfecto, pero soy muy alta y me queda muy corto para el diseño que es. No luce como deberia.
190;POS;Como esperaba y super comodo.
191;POS;Es lindo me queda bien, los apliques del vestido son re lindo
192;POS;Bello hermosa la.
193;POS;Me encanto el vestido.
194;POS;Excelente me encanto compren lo recomiendo.
195;POS;Hermosooooo.
196;POS;Precioso el diseño.
197;POS;Muy buen calce!!! coincide tabla de talles. Hermoso el detalle los brillos tiene efecto dorado no es plateado unicamente, sutil y fino.
198;NEU;Hermoso! pero muy corto,en la foto d la modelo parecia largo y eso q mido 1. 68.
199;POS;Hermoso.
200;POS;Me encantó ,,me fue perfecto ,,no te olvides de mirar la tabla de talles y medirte y te va a ir perfecto,clásico pero con detalles espectacular de puño y cuello. Me encantó ,lo súper recomiendo.
201;POS;Hermoso y elegante vestido. No me anime a comprar el talle según la tabla de medidas y me quedo algo grande. Error mio.
202;POS;Hermoso. Es lo q esperaba.
203;POS;Excelente! lo que esperaba. Muy bello. Linda calidad. Cómodo y elegante sin dudas.
204;POS;Muy linda la confección, la tela con la que está forrado es gruesa,no trasluce para nada. Muy lindo en general. Ideal para una fiesta.
205;POS;Super cómodo, holgado y elegante. La tela no es la calidad que esperaba, pero el diseño es bárbaro. Me sacó del paso.
206;POS;No podría estar más feliz, es super cómodo, elegante el talle justo, exelente lo super recomiendo par una fiesta
207;POS;Muy lindo. Pero me quedo muy grande. Lo necesitaba para el día siguiente que lo devolví. Por eso no lo cambie por un talle menos.
208;POS;Me encantó el vestido, linda presentación bolsita con cierre,el brillo hermoso y se puede usar en i vierno y verano , me encanto!!!.
209;POS;Es un poco corto ,,,pero vamos a solucionarlo. En la foto ,se veía que era corto.
210;POS;Muy buen producto solo que no me quedo como esperaba. Me quedo grande!. Y no tengo tiempo para pedir otro. Sino hubiera esperado el cambio por otra prenda. !!!.
211;POS;Lindo producto , no es la tela que esperaba, pero queda bien!!.
212;POS;Es lindo , todavía no lo lave por eso no pongo nada como referencia. Pero lo demás es lo esperado.
213;POS;Excelente!.
214;POS;Muy buena calidad,grande pero yo pedí ese talle. Excelente calidad.
215;POS;Ya me lo probé es súper cómodo.
216;POS;Precioso. Muy delicado. Lo recomiendo.
217;POS;Muy hermoso muy lindo gracias.
218;POS;Muy linda calidad y queda lindo.
219;POS;Es como se ve en la foto. Me queda perfecto. Es muy cómodo y viste para noche de fiesta.
220;POS;Muy lindo , justo lo que necesitaba
221;POS;Hermoso,.
222;POS;Excelente. Muy buen producto.
223;POS;Hermoso.
224;POS;Es tal cual lo que muestra la imagen. Las tablas de medidas son perfectas.
225;POS;Muchas gracias es hermoso.
226;POS;Muy lindo.
227;POS;Hermosisimo.
228;NEU;No lo lave todavía, muy cómodo y lindo pese a que se le salieron lentejuelas.
229;POS;Ordenar
230;POS;Un espectáculo y me quedo como esperaba muchas gracias.
231;POS;Hola todavía no lo use yo pedí el talle más grande pensando que era más chico de tamaño x ahora algunos talles grandes cuando te lo medi es chico pero ya lo voy a solucionar es muy hermoso es como en la foto.
232;NEU;Lindo, cómodo pero muy finita la tela. Se trasluce todo.
233;POS;El producto que recibí es muy lindo y me queda perfecto. No puedo opinar sobre la resistencia al lavado xque lo acabo de recibir. Me encanta.
234;POS;Hermoso.
235;POS;El vestido es muy lindo y cómodo.
236;POS;Muy lindo vestido. La confección me gustó. Lo volvería a comprar em otro color.
237;NEG;Muy feo el vestido , nada q ver a lo q muestra la foto, ni el color y mucho menos la calidad. Feisimo.
238;NEU;El vestido es muy lindo pero tiene lentejuelas pegadas que se salen con facilidad por lo que creo que no es de muy buena calidad. Es de fantasía. Eso me desilusionó un poco.
239;NEG;Los detalles de tela plateada no es de buena calidad,. Horrible la calidad muy feo el producto.
240;NEG;Si bien el vestido me quedo bien en cuanto a talle. El escote y bordado no es igual al de la foto y esta un poco torcido.
241;NEG;Decía gasa la verdad dista de serlo es más un chifon,tul de ninguna manera pierde el glamour q lo hace la tela,caro.
242;NEG;El talle es tal cual la gaza bien pero las lentejuelas están pegadas y se ven de muy mala calidad una lastima porque el calce del vestido y la tela bárbaro no se trasluce nada
243;POS;Bien. Es lindo. Saca del apuro.
244;POS;Genial.
245;NEU;El modelo es muy lindo aunque es bastante berreta la calidad.
246;POS;Divino, excelente calce, la tela quizás un poco translucida, pero queda muy fino.
247;POS;Muy linda la confección, un poco caliente la tela es para media estación para mí ,ya que, con los calores que tenemos en el note va se difícil aguantar.
248;NEU;No es tan acampanado.
249;POS;Hermoso! tal cual se ve en la foto. El talle es real! recomendable!!.
250;NEU;Calidad_precio esperaba una tela más gruesita. El talle real y de acuerdo con la guía de talles.
251;POS;Excelente!!! el talle quedó perfecto. La tela es muy linda y los detalles de las terminaciones excelentes!!! lo recomiendo 100%.
252;NEU;Aún no lo lave, ni lo estrene. Lo voy a usar para la comunión de mi nieto. El 4/11//23.
253;POS;Hola, el vestido es hermoso pero me queda chico , quisiera cambiarlo x un talla más por favor.
254;POS;Me gusto, el talle es justo, no cede. La calidad es buena.
255;POS;Excelente. Me gusta el corte,yo soy gordita y me gusta como me queda. Muy cómodo, la caída de la tela es muy linda y no se siente pesado.
256;POS;Preciosoo.
257;POS;Me gustó su confección y la tela.
258;POS;Super delicado, queda muy lindo.
259;POS;Hermoso vestido quedó perfecto al cuerpo y le agregué un poco más de vuelo. Quedó soñado.
260;POS;Hermoso vestido!! super recomendable me encantó como quedó. Los talles son tal cual la tabla!! precioso.
261;POS;Me encantoooooooo!!!! superó todas mis expectativas!!.
262;POS;Excelente! tal cual la foto.
263;POS;Hermoso queda perfecto puesto muy cómodo lo amé.
264;POS;Hermoso!!!.
265;POS;El talle es perfecto. La tela sede lo suficiente como para no deformar el dibujo. La cauda es divina. Ame el vestido! aún no lo estrene no se como reaccionar la tela al lavado.
266;POS;Es bellísimo, la tela hermosa con cuerpo, me quedó perfecto!!! di-vi-no! tal cual la foto.
267;POS;Mejor de lo q esperaba,hermosoo.
268;POS;Hermosa prenda, de calidad y terminaciones. Muy recomendable.
269;POS;El vestido es hermoso el talle impecable ,la tela no transparenta , el estampado divino , me encantó,.
270;POS;Era lo que soñaba hermoso !!!me vendieron lo que quería comprar.
271;POS;Bello.
272;POS;Es hermoso!!.
273;POS;Mi producto me pareció muy bonito.
274;POS;Exelente en todo, calidad, tela, modelo, estampado, bellísimo!.
275;POS;Es divinoooo, sólo que me quedó grande. Pero ya compré un talle menos. Muchas gracias.
276;POS;Muy bueno
277;POS;Excelente y el talle perfecto
278;POS;Es lo que esperaba.
279;POS;Es muy lindo !!.
280;POS;Hermoso me. Quedo perfecto con la guia de talles.
281;POS;Excelente, el nuevo talle me quedó muy bien 
282;POS;Buena relación precio y calidad.
283;POS;Todavia no lo lave. El talle es pefecto solo que para mi un poco largo (me queda abajo de las rodillas) pero despues es divino!!.
284;POS;Exelente compraría otro modelo.
285;POS;Muy buena la calidad de la tela y confección. Se siente liviana al momento de ponersela
286;POS;Producto igual a las fotos. Medidas exactas. Todo ok me gustó.
287;POS;Muy bello!.
288;POS;Es tal como se vé, excelente calidad, delicado. Me encantó!!.
289;POS;Excelente todo. Puntualidad. Seriedad. Calidad excelente. Estpy muy contenta con los 5 vestidos comprados.
290;POS;Me encanto lo hermoso que es, y la calidad de tela , y es justo a mi talle tal cual como ee describe los talles ahí, me quedo de 10 estoy conforme y muy contenta muchas gracias.
291;POS;Es muy lindo, tal vez un poco caluroso. Muy bonito.
292;POS;Me quedo como esperaba.
293;POS;Me encanto!! lo eligio mi hijo. Hermoso!! todavia no lo use. Si me lo probe apenas lo fuiba buscar!(me hace re lindo cuerpo) volvere a comprar. Xq me gustaron mas modelos.
294;POS;Precioso el vestido.
295;POS;Me encanta el vestido. Es hermoso.
296;POS;Todavía no lo lavé pero la tela parece buena calidad. El vestido me quedo muy bien. Quedé muy conforme con la compra.
297;POS;Es divino, me fascinó!.
298;POS;Muy lindo.
299;POS;Hermoso, me cambiaron por otro talle,sin ningún problema
300;POS;Hermoso bellísima un calce perfecto largo justo me encanto.
301;POS;Bellisimo!! me encantooo. Lo recomiendo.
302;POS;Me gusto mucho es lo que se veía.
303;NEG;La tela es lanilla y no me gusto!.
304;POS;Hermoso voy a comprar tods los colores!.
305;POS;Fue un regalo para mi esposa, le encantó la tela, la terminación el color, todo!!!!.
306;POS;Excelente calidad. Hermiso vestido. Super conforne.
307;POS;Muy lindo lo que se ve en la foto.
308;POS;Me encanta. Muy cómoda.
309;POS;Me encantó, me quedo muy bien.
310;POS;Muy buen producto,¡hermoso!.
311;POS;Excelente muy lindo y de buena calidad.
312;POS;Excelente, me quedo el talle , tal cual la tabla de referencia, talles reales y hermoso el color y modelo de vestido. Recomiendo el producto.
313;POS;Me encanto.
314;POS;Divino. Buenísima cálidad. Super recomiendo.
315;POS;Hermoso.
316;POS;La relación precio calidad es la correcta. Conforme con mi compra.
317;POS;Hermoso, tela super delicada, buenas terminaciones, caída, realmente mas de lo que esperaba. Vale su precio.
318;POS;Muy lindo el vestido, la tela es preciosa.
319;POS;Muy bueno era lo que esperaba me quedo perfecto.
320;POS;Hermoso, tal como se ve en la foto, me encantó.
321;POS;Excelente, era para regalo, quedo muy bien, muy lindo.
322;NEG;No es lo que esperaba. La tela es una baba. Pensé que sería pesada y con caída. No tiene forrada la parte de la pollera. Se trasluce todo.
323;NEU;La tela no era lo que yo esperaba. Muy dura y sin caída. Color lindo y buen calse.
324;NEG;La tela muy gruesa y calurosa!! elegí el talle por la medida el contorno de cintura y me queda inmenso.
325;NEG;La tela no es buena calidad.
326;NEG;No lo pude usar, porque no era lo que esperaba. Lo tuve que devolver.
327;POS;Me quedo muy lindo compre justo mi talle con un poco de miedo pero me calzo a la perfeccion si bien no es una tela muy gruesa me encanto.
328;NEU;No puedo opinar por el producto porque no es para mi la compra que realice.
329;NEU;Todavía no lo lavé.
330;POS;Supero mis espectativas! me encanto! buen precio y calidad.
331;POS;Vino con una falla de costura, pero a comparación de la calidad y la caida del vestido con el precio. Le pego una costura. Muy bueno.
332;POS;Es hermoso el vestido me encantó la calidad de la tela es elegante y muy bueno el precio !!! quedé muy satisfecha con mí compra!!! gracias!!!.
333;NEG;Tome las medidas pero aún así me quedo cortooo.
334;POS;Me encanto, muy buena calidad. Todavía no lo lave así que no puedo opinar.
335;POS;Muy lindo. Tal cual la foto. Calentito. Buena compra.
336;POS;Es hermoso.
337;POS;Excelente!!.
338;NEU;Bueno, lástima la demora.
339;POS;El modelo me gusta, no puedo opinar del lavado y color xq aún no lo he usado,pero me resulta comodo.
340;POS;Me gustó lo calentito que lo sentí al probarlo. De la calidad después del lavado no opino por qué no llegue a lavarlo recién lo recibi.
341;POS;Está lindo !!! me gusta la tela, es gruesito !!! aún no lo use pero me gustó.
342;POS;Canchero.
343;POS;Muy lindo.
344;POS;Buena calidad acorde al precio.
345;POS;Hermoso vestido abrigado y calsa muy bien.
346;POS;El vestido es hermoso. Lo único pedí un talle más x las dudas y me quedo largo. Pero se arregla.
347;POS;Me gusta la confeccion y el material. Me quedo bien. No puedo dar otra opinion x q todavia no lo lave.
348;POS;Muy lindo. Buena calidad y precio.
349;POS;Hermoso y abrigado vestido casual.
350;POS;Me encanta, era tal como se ve en la foto.
351;POS;Realmente muy bonito!!! me quedó muy bien y es abrigadito!!!.
352;NEG;Malisimo, el vestido es lindo tal cual la foto, pero en la primera lavada se destiño todo no lo pude volver a usar y se transparenta.
353;NEU;El vestido es lindo y abrigadito pero la calidad no parece ser muy buena, es de lanilla y se le hacen pelotitas rápidamente.
354;NEG;Podría haber tenido mejor terminación. Y mejor forma es un corte muy derecho lo tuve que entallar y achicar de costado corte bolsa es.
355;NEG;Mala calidad. Nada que ver con la foto.
356;NEG;Me quedó muy grande.
357;NEU;Es fino pero abrigado queda bien como vestido de invierno.
358;NEG;Horrible.
359;NEU;A pesar que compre el talle más grande, me queda ajustado y corto. No es para mi.
360;NEU;Muy buena calidad de la tela, solo que vino la gasa muy arrugada, me podrian decir, como desarrugarla? la extendi en ducha con vapor, pero no se le quitan las arrugas.
361;POS;Hola,. Recién pude probar el vestido,. Les escribo porque me quedó espectacular, gracias.
362;NEG;En mi caso la confeccion era bella però la tela y la calidad no eran tan elegante para la ocasión que yo lo necesitaba.
363;POS;Excelente.
364;POS;Muy buen producto excelente.
365;POS;Muy bueno ,cómodo
366;POS;Es hermoso!!!!.
367;POS;Muy lindo.
368;NEU;Lindo vestido, me hubiese gustado una talla más, pero no llega.
369;NEU;Tal cual la foto. Bello. El color mismo. Todavía no lo use pero se ve lindo. Lo unico la presentación mala.
370;POS;Excelente.
371;POS;Quedo perfecto. Gracias!.
372;NEG;No son talles reales.
373;NEG;La tela no es lo que esperaba, no tiene la misma caída no me gustó la tela.
374;NEG;Muy trucho el vestido para lo que vale. Esperaba más calidad en la tela, además vino echo una pelota, todo arrugado. Es un vestido lindo pero una modista te lo hace por la mitad. Compré uno más lindo en un local de fiesta y salió la mitad. El precio está muy alto para lo que es el vestido.
375;POS;Muy lindo y de buena calidad.
376;POS;Divinooo !! muchas gracias.
377;POS;Excelente.
378;POS;Muy bueno. Las medidas exactas. Todavia no lo oave.
379;POS;Excelente y hermosisimo vestido!. Super recomendable.
380;POS;Hermoso.
381;POS;Es un sueño! bello, elegante, delicado y los bordados le dan un toque de elegancia, es muy hermoso! super recomendable!.
382;POS;Me encantó muchísimas gracias.
383;POS;Ame este vestido!! super cómodo. Superó mis espectativas. Bellísimo!! me encanto!!
384;POS;Excelente calidad! le quedó prefecto a mi hija! la tela, todo hermoso.
385;POS;Precioso, re contenta con la compra, es muy lindo y queda perfecto.
386;POS;Exelente!.
387;POS;Excelente en calidad y precio.
388;POS;Superó mis expectativas
389;POS;Me encanto, soy muy caderona y me fue perfecto, es muy elastizado y cómodo. Lo usé para navidad y fue la mejor opción, muy satisfecha.
390;POS;Muy cómodo y lindo!!! me encantó!!.
391;POS;El vestido es muy lindo. Estaba en el límite de talle, dónde cambiaba de l a xl. Así qué por las dudas compré el xl y me queda bien. En algunas partes holgado (le haré unas pinzas). Así que los talles son tal cual el cuadro. Lo recomiendo.
392;POS;Excelente!!!.
393;POS;Hermoso y sentado. 1 millón de puntos.
394;POS;Las medidas tal cual la tabla, me quedo perfecto.
395;POS;Hermoso vestido! cómodo y con muy buena confección. Con las medidas de la web, quedó perfecto. Sin dudas vuelvo a comprar otros vestidos más adelante.
396;POS;Muy hermoso, aún no lo he usado!!!.
397;POS;Excelente!! por atrás es liso, pero de tela elastizada, así que el calce es perfecto!!!!. Me quedo fantástico!!! y en 3 días lo tuve en mi casa ( provincia de misione).
398;POS;Es caro, pero verdaderamente bonito! queda al cuerpo. La tela del frente es preciosa.
399;NEG;Una de las peores compras de los últimos tiempos. No es un vestido. Es una remera con corte evase. El color no es negro es gris oscuro. No responden los mensajes. No volvería a comprar.
400;NEG;Tela suave y fina. Debido al largo del vestido, es imposible usarlo porque es demasiado corto. Solo parecerá una blusa.
401;POS;Linda colección, tela de ladilla finita. Pero lindo.
